RestaurantID,RestaurantName,City,Cuisines,Rating_text,Votes
305598,Aslam Chicken,New Delhi,North Indian,Very Good,1891
18291442,Qureshi Kabab Corner,New Delhi,"Mughlai, Kebab",Very Good,1060
6677,Kake Di Hatti,New Delhi,North Indian,Very Good,2724
993,Al Jawahar,New Delhi,"Mughlai, North Indian, Kebab",Very Good,2961
1155,Giani's di Hatti,New Delhi,Street Food,Very Good,1231
9165,Old Famous Jalebi Wala,New Delhi,"Mithai, Street Food",Very Good,1251
303642,Kuremal Mohan Lal Kulfi Wale,New Delhi,Ice Cream,Very Good,1021
799,Gulati,New Delhi,"North Indian, Mughlai, Kebab",Very Good,6192
305525,Cafe Lota,New Delhi,"North Indian, South Indian, Bihari, Salad",Very Good,3572
309788,SodaBottleOpenerWala,New Delhi,"Parsi, North Indian",Very Good,2883
18544058,Yum Yum Cha,New Delhi,"Chinese, Japanese, Sushi",Excellent,1048
4631,Andhra Bhavan,New Delhi,"South Indian, Andhra",Very Good,4248
18273615,The Chatter House,New Delhi,"Finger Food, Italian, North Indian",Very Good,1772
1614,The Big Chill,New Delhi,Cafe,Very Good,6343
313207,Smokey's BBQ And Grill,New Delhi,"American, European, BBQ",Very Good,1391
18419910,Civil House,New Delhi,"European, Mediterranean",Very Good,1223
2004,Indian Accent,New Delhi,Modern Indian,Excellent,3463
3492,Concept Shawarma,New Delhi,"North Indian, Chinese",Very Good,1033
18604836,Hishi Cafe,New Delhi,"American, Continental, Fast Food, Beverages",Excellent,1049
3033,KFC,New Delhi,"Burger, Fast Food",Good,944
18594886,QD's Restaurant,New Delhi,"Chinese, North Indian, Fast Food, Momos",Very Good,1238
9579,Anand Ji,New Delhi,"North Indian, Street Food",Very Good,1017
8509,Barbeque Nation,New Delhi,"North Indian, Chinese, BBQ",Very Good,1297
491,Bikanervala,New Delhi,"Mithai, Street Food, South Indian, North Indian, Chinese",Very Good,681
18400728,Burger King,New Delhi,"Burger, Fast Food, Beverages",Very Good,754
1819,The All American Diner,New Delhi,"American, Salad",Very Good,5405
304931,Guppy,New Delhi,"Japanese, Seafood, Sushi, Poké",Very Good,1060
9706,Amici Cafe,New Delhi,"Cafe, Italian, Pizza, Salad",Good,1097
18277165,Ping's Café Orient,New Delhi,Asian,Very Good,947
556,Kent's Fast Food,New Delhi,"Burger, Fast Food",Very Good,1219
451,Swagath,New Delhi,"North Indian, Chinese, South Indian, Seafood",Good,1014
305,Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",Very Good,1006
18601702,Jamun,New Delhi,North Indian,Very Good,766
60,Colonel's Kababz,New Delhi,"North Indian, Mughlai",Good,759
18429148,Pa Pa Ya,New Delhi,"Asian, Chinese, Thai, Japanese",Excellent,3376
18574177,The Runway Project by PizzaExpress,New Delhi,"Italian, Continental",Very Good,1735
18558920,Burma Burma,New Delhi,"Asian, Burmese",Excellent,1590
3192,The Big Chill,New Delhi,Cafe,Excellent,4051
18255154,The Junkyard Cafe,New Delhi,"North Indian, Mediterranean, Asian, Momos, Fast Food",Very Good,1360
2867,RP's Restaurant,New Delhi,"Mughlai, North Indian, Chinese",Very Good,1495
310078,Burger King,New Delhi,"Burger, Fast Food, Beverages",Very Good,3201
18554281,Cafe Tesu,New Delhi,"Cafe, Mediterranean",Very Good,994
18303828,Burger King,New Delhi,"Burger, Fast Food, Beverages",Good,1080
18469965,Pho King,New Delhi,"Asian, Continental, Mexican, North Indian, Momos, Chinese",Very Good,2428
8621,Rose Cafe,New Delhi,"Cafe, Italian, Lebanese, Continental, Mediterranean, Salad",Very Good,3061
18128893,Lavaash By Saby,New Delhi,"Armenian, Bengali",Very Good,1374
18510830,Soho Bistro and Cafe,New Delhi,"Cafe, Continental, European",Very Good,1106
18676964,Bo Tai,New Delhi,Thai,Very Good,1022
18373071,Jugmug Thela,New Delhi,Cafe,Very Good,1074
18217023,Blue Tokai Coffee Roasters,New Delhi,"Cafe, Coffee",Very Good,1255
3258,Olive Bar and Kitchen,New Delhi,"Mediterranean, Italian, European, Salad, Seafood",Very Good,2483
307432,Dramz,New Delhi,"European, Modern Indian, Asian",Very Good,1068
18551422,Café Dori,New Delhi,"Cafe, European, Continental",Very Good,862
