location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,
Cambodia,BGR,03-06-2021,1429105,827703,601402,23153,15331,20.57,11.91,8.66,2206,
Cameroon,KHM,03-06-2021,4782587,2688014,2094573,58643,80408,28.61,16.08,12.53,4809,
Canada,CMR,31-05-2021,75215,63404,11811,,2601,0.28,0.24,0.04,98,
Cape Verde,CAN,03-06-2021,24933524,22530589,2402935,411460,369459,66.06,59.7,6.37,9789,
Cayman Islands,CPV,26-05-2021,24382,21663,2719,,193,4.39,3.9,0.49,347,
Central African Republic,CYM,03-06-2021,83970,45195,38775,749,605,127.77,68.77,59,9206,
Chile,CAF,31-05-2021,18408,17691,717,,934,0.38,0.37,0.01,1,
China,CHL,26-12-2020,8338,8338,,3140,3959,0.04,0.04,,207,
Colombia,CHN,03-06-2021,723486000,,,18660000,19875143,50.27,,,13809,
Comoros,COL,02-06-2021,10697683,7359045,3338638,314716,265046,21.02,14.46,6.56,5209,
Congo,COM,31-05-2021,83907,,,,1788,9.65,,,2056,
Cook Islands,COG,18-05-2021,38268,22623,15645,,138,0.69,0.41,0.28,25,
Costa Rica,COK,01-06-2021,8291,8291,,,561,47.2,47.2,,31940,
Cote d'Ivoire,CRI,01-06-2021,1658685,1012339,646346,,25110,32.56,19.87,12.69,4929,
Croatia,CIV,03-06-2021,567488,567488,,12016,5629,2.15,2.15,,213,
Cuba,HRV,21-05-2021,1549368,1157655,391713,,34130,37.74,28.2,9.54,8314,
Curacao,CUB,31-05-2021,2037745,1185218,147135,,,17.99,10.46,1.3,,
Cyprus,CUW,29-03-2021,19609,15406,4203,,,11.95,9.39,2.56,,
Czechia,CYP,03-06-2021,632437,394877,237560,10132,8573,72.2,45.08,27.12,9788,
Democratic Republic of Congo,CZE,03-06-2021,5656413,4051587,1652161,109547,87249,52.82,37.83,15.43,8147,
Denmark,COD,31-05-2021,23197,23197,,,713,0.03,0.03,,8,
Djibouti,DNK,02-06-2021,3557425,2248842,1308583,59883,50703,61.42,38.83,22.59,8754,
Dominican Republic,DJI,01-06-2021,21357,12547,8810,,802,2.16,1.27,0.89,812,
Ecuador,DOM,02-06-2021,4625387,3424187,1201200,168871,83439,42.64,31.57,11.07,7692,
Egypt,ECU,02-06-2021,2447889,1657029,790860,60191,54307,13.87,9.39,4.48,3078,
El Salvador,EGY,01-06-2021,2698411,2351512,346899,,81464,2.64,2.3,0.34,796,
England,SLV,02-06-2021,2015408,1169097,846311,44161,32554,31.07,18.02,13.05,5019,
Equatorial Guinea,OWID_ENG,02-06-2021,55660196,33217813,22442383,421631,424455,98.89,59.02,39.87,7541,
Estonia,GNQ,16-03-2021,6565,5765,800,,,0.47,0.41,0.06,,
Ethiopia,EST,03-06-2021,740331,490605,249726,14016,8506,55.81,36.98,18.83,6412,
Europe,ETH,03-06-2021,1853259,1853259,,14690,9791,1.61,1.61,,85,
European Union,OWID_EUR,03-06-2021,373875058,244246364,133316767,2808499,4125856,49.94,32.62,17.81,5511,
Faeroe Islands,OWID_EUN,03-06-2021,260527170,176494855,87727550,2458840,3248049,58.56,39.67,19.72,7300,
Falkland Islands,FRO,03-06-2021,34082,21007,13075,,358,69.75,42.99,26.76,7326,
Fiji,FLK,14-04-2021,4407,2632,1775,,12,126.53,75.57,50.96,3445,
Finland,FJI,01-06-2021,136247,136247,,,3760,15.2,15.2,,4194,
France,FIN,03-06-2021,3094854,2546214,548640,59516,33068,55.86,45.95,9.9,5968,
French Polynesia,FRA,02-06-2021,38087228,26621719,11780948,621168,534050,56.37,39.4,17.44,7904,
Gabon,PYF,01-06-2021,103252,57743,45509,,1099,36.76,20.56,16.2,3912,
Gambia,GAB,29-05-2021,22524,14352,8172,,438,1.01,0.64,0.37,197,
Georgia,GMB,28-05-2021,38490,33819,4671,,1511,1.59,1.4,0.19,625,
Germany,GEO,03-06-2021,193318,155538,37780,10409,6904,4.85,3.9,0.95,1731,
Ghana,DEU,03-06-2021,53404798,37409415,16708899,614111,697783,63.74,44.65,19.94,8328,
Gibraltar,GHA,31-05-2021,1228216,852047,376169,,54335,3.95,2.74,1.21,1749,
Greece,GIB,02-06-2021,77717,39098,38619,,159,230.68,116.05,114.63,4719,
Greenland,GRC,03-06-2021,5888281,3803175,2204220,97001,83275,56.49,36.49,21.15,7989,
Grenada,GRL,03-06-2021,25335,16879,8456,1424,632,44.63,29.73,14.89,11132,
Guatemala,GRD,28-05-2021,25544,17344,8200,,284,22.7,15.41,7.29,2524,
Guinea,GTM,02-06-2021,561976,464587,97389,21032,18860,3.14,2.59,0.54,1053,
Guyana,GIN,07-04-2021,82135,72576,9559,,2784,0.63,0.55,0.07,2125,
High income,GUY,23-04-2021,113596,111825,1771,,5000,14.44,14.22,0.23,6357,
Honduras,OWID_HIC,20-12-2020,576367,563629,,564411,82338,0.05,0.04,,65,
Hong Kong,HND,17-03-2021,28570,28570,,21470,3304,0.29,0.29,,334,
